en,zh
"Also sink most perhaps and equally, the most helpless!","也许同样也是最沉, 最无奈吧!"
Q3. Have you encountered problems with implementation with regard to the names and identifying information as currently included in the list?,问题3. 贵国在执行工作中是否遇到关于目前列于清单中的姓名和识别资料的问题？
Imagine thousands of desktop PCs running applications with one or two connections to the database.,想像一下这种情况：几千台运行应用程序的桌面电脑共用一两个到数据库的连接。
"Truth, justice and memory were its watchwords.","""真理、正义和铭记""是该组织的格言。"
"(ii) Formal care: all care provided in a family environment which has been ordered by a competent administrative body or judicial authority, and all care provided in a residential environment, including in private facilities, whether or not as a result of administrative or judicial measures.",(二) 正规照料：由主管行政机关或司法当局下令、在家庭环境中提供的所有照料；以及无论是否由行政或司法措施促成、在寄宿环境(包括私营设施)中提供的所有照料。
"It was also said that it was important that the Rules could work in different legal environments, given that they are intended to be used in cross-border e-commerce transactions.",还指出，鉴于打算在跨境电子商务交易中使用《规则》，《规则》必须是能够在不同法律环境中运用的。
programmes of action pertaining to the situation of social,联合国行动计划和行动纲领：
30. A recorded vote was taken on draft resolution A/C.3/59/L.52.,30. 对决议草案A/C.3/59/L.52进行记录表决。
Low value payments,低价值付款
Africa,非洲
Our society will not be great until every young mind is set free to scan the farthest reaches of thought and imagination.,我们的社会将不在强大除非每个年轻人的思想释放去扫描思想的最远区域。
341. Owing to the prominence of Chinese manufactured arms and ammunition found among the materiel that the Panel documented in Darfur the Panel has sought during the current and previous mandates the close cooperation of the Government of China and more recently of its major defence materiel producers.,341. 专家组在达尔富尔查到的物资中，有大量中国制造的武器和弹药，因此专家组在本任务期及先前任务期期间，一直寻求中国政府给予密切合作，最近还寻求中国的主要国防物资厂家给予密切合作。
Summary,摘要
"In this respect, the State party should be guided by the United Nations Guidelines on Justice in Matters involving Child Victims and Witnesses of Crime (Economic and Social Council resolution 2005/20).",在这方面，缔约国应遵循《联合国关于儿童被害人和证人的刑事司法问题守则》(经社理事会第2005/20号决议)。
"Taking into account significant developments in the legal framework underpinning nuclear security, the programme will now focus on three principal areas, namely, assessing nuclear security needs, threat analysis and coordination; preventing malicious activities involving nuclear and radioactive materials; and detecting and responding to malicious activities.",考虑到核安保法律框架的重大发展，该方案现在将侧重于三个主要领域，即评估核安保需要、核威胁分析和协调；防止涉及核材料和放射性材料的恶意活动；侦查和应对恶意活动。
"Water droplets from this high pressure fog applicator will reduce the fire ground temperature to allow firemen to gain access. Some of the droplets will turn into steam and absorb heat from the fire, the remaining will wet the surface of nearby combustible materials to delay combustion.",高压喷雾喉笔所产生的微细水点能减低现场环境的温度，能保护消防人员进入火场及湿润附近可燃物品，阻止火势蔓延。
" (l) To participate in joint periodic reviews with staff of regional and country offices, responsible government officials and members of other participating agencies to assess programme effectiveness and impact and to identify lessons from programme experiences;"," ( l ) 参与 区域 和 国家 办事处 、 政府 负责 官员 和 其他 参与 机构 人员 的 定期 共同 审查 , 以 评价 方案 效率 和 效力 和 查明 从 方案 经验 得到 的 教训 。"
"45. Mr. Abdelaziz (Egypt) said it should be noted that in the event of such an agreement, delegations would not be prevented from submitting draft resolutions or decisions to either body.",45. Abdelaziz先生（埃及）说，应当指出，即使达成这样的一致意见，也不能阻止各代表团向这两个机构中的任何一个提交决议或决定草案。
"Is located in the eastern county, Sandu Bay River upstream, 27 km away from the Luo.","位于县境东部, 三都湾水系上游, 距罗阳27公里."
"Therefore, if, as some Governments claim, terrorist ""sleepers"" in their countries are likely to be Muslim, Middle Eastern and South Asian men, then it would be crucial for lawenforcement agencies to enjoy the cooperation of the respective communities.","因此，如某些国家政府所主张，如果在其国家内""潜伏的""恐怖分子很可能是穆斯林、中东和南亚男子，那么对执法机构来说，获得各个社区的合作将是至关重要的。"
She left after 12 seconds.,她在12秒前走开了。
A trade union is freely organized and administered and drafts its own programme.,165. 工会属于自由组织和管理，并且自行制定计划。
"Target 2014-2015: 22,500,000 (visits and downloads); 1,000 Twitter followers and Facebook users",2014-2015年目标：22 500 000(访问和下载)，推特和脸书上有1 000名关注者
"446. Tertiary level enrolment went up by 15%, from 28,864 students in 2005 to 33,230 in 2006.","446. 高等教育入学率上升了15%，从2005年的28,864名学生增至2006年的33,230人。"
"By the end of 1993, the Patent Office of China had handled over 360,000 applications for patent rights.",到1993年底，中国专利局累计受理专利申请36万多件。
Background - Particulate air pollution has been associated with cardiovascular mortality and morbidity.,背景 - 空气污染颗粒与心血管致病率和死亡率有联系.
Antigua and Barbuda,安提瓜和巴布达
The FAO Environment and Natural Resources Service hosts the GTOS secretariat at its headquarters on behalf of the GTOS sponsors.,26. 粮农组织代表全球地面观测系统资助人在总部的环境和自然资源部设立了全球地面观测系统秘书处。
Sign-up is free and easy by visiting the e-Subscription page <http://undocs.org/>.,注册免费，也很方便，只需访问电子订阅页面<http://undocs.org/>。
Awareness-raising,提高认识
"69. An asylum-seeking child should be represented by an adult who is familiar with the child's background and who is competent and able to represent his or her best interests (see section V (b), ""Appointment of a guardian or adviser or legal representative"").","69. 必须由熟悉儿童的背景、有能力并且能够代表他或她最大利益的成年人作为申请难民身份儿童的代表(请参阅第五部分(b)""指定监护人或顾问或法律代表"")。"
All that is gold does not glitter.,闪光的未必都是金子.
Amy:Hooray! Lingling is a fantastic goalkeeper.,埃米：好哇！玲玲是一名奇妙的守门员。
"He noted also that a number of States considered the article conferred the same rights as those under article 15 of the Universal Declaration of Human Rights and article 24, paragraph 3, of the International Covenant on Civil and Political Rights.",他还指出，一些国家认为，这一条赋予与《世界人权宣言》第15条和《公民权利和政治权利国际盟约》第24条第3款同样的权利。
"17. United Nations Logistics Base, Brindisi",17. 联合国布林迪西后勤基地
"With the amendment to the family relationships policy, fifteen additional cases that previously would have been identified as raising a potential conflict of interest were resolved with proactive advice.",随着家庭关系政策得到修订，另外15 个以往会被认为产生潜在利益冲突的个案通过积极主动的建议得到了解决。
Innovation as Dynamics: New Development of Research in Historic Dynamics,创新动力论：历史动力研究的新发展
"By the year-end, 10,000 people will have a chance to take the test at 19 centres in the six cities and possibly others to be selected, according to the US-based Educational Testing Service (ETS).",据美国教育考试服务中心介绍，到今年年底，这六个城市的考点将增加到19个，考生也将增加到1万个。
"I called my servant, and he gave me no answer; I intreated him with my mouth.",我呼唤仆人，虽用口求他，他还是不回答。
"He kept his seat, and shrank closer to the fire.",他还坐着，向火炉那边更挨近些。
"That decision emanated from the Modern House of Tokelau approach, whereby the traditional Council of Elders on each atoll should serve as the foundation for any future governance structure.",这项决定源自托克劳现代议会的办法，其中规定每一个环礁岛的传统长老理事会应成为今后任何治理结构的基础。
In 2003 a case was brought by the Endorois community (a semi-nomadic indigenous community in Kenya) before the African Commission on Human and Peoples' Rights challenging eviction from their ancestral lands for the creation of a national reserve.,2003年， Endorois社群(肯尼亚一个准游牧土著社群)向非洲人权和人民权利委员会起诉，质疑为建立国家保护区，将他们从祖辈留下的土地逐出。
"Nevertheless, some of those States made clear that the order should not be executed if it constituted a criminal offence.",不过 ， 其中 有些 国家 明确 表示 ， 如果 执行 命令 构成 刑事犯 罪 则 不应 执行 命令 。
Latin America accounted for 6 per cent of global opium production in 2001.,拉丁美洲现占全球鸦片产量的6%。
This commitment stems naturally from the decision to align yourself with the polarity of unconditional love.,这种承诺自然根源于你把自己与无私的爱的一极看齐。
"If your land is within an area covered by either a DPA plan or an outline zoning plan (OZP) which has replaced a DPA plan, it is subject to statutory planning control and the enforcement provisions under the Ordinance will apply.",倘若你的土地位於发展审批地区图所涵盖的范围内，或位於已取代发展审批地区图的分区计划大纲图所涵盖的范围内，则有关土地便会受到法定规划管制，而条例的执行管制条文亦会适用。
We also very much appreciate the assistance of those who provide funds and of governmental and non-governmental organizations.,我们也非常感谢来自提供资金者以及来自政府和非政府组织的援助。
He never fails to come on Sunday.,他星期天准来.
On 27 April 2001 the Taraz city court sentenced her to four years' imprisonment.,2001年4月27日，Taraz市法院将该名妇女判处四年有期徒刑。
"I mean, it's just a silly game, anyways.",不就是场愚蠢的比赛吗？
Fine. take off your pants.,好，脱掉你的裤子。
"It was further agreed that Mr. Brian Pink would first discuss the subject with Queensland University prior to a planning meeting with potential partners, to be organized by the secretariat in May 2009.",主席团还进一步商定在定于2009年5月由秘书处组织的、与潜在合作伙伴举行的规划会议之前，将由Brian Pink先生与昆士兰大学先期讨论这一主题。
"(d) Establish a rigorous system for monitoring the services provided by care institutions, especially by nongovernmental care institutions; and",制定严格的制度，用以监测照料机构、特别是非政府照料机构提供的服务；
The ultimate sonataof that opus;,乐曲最后的奏鸣曲；
"Smaller increases were registered in Peru (from 51,400 ha in 2006 to 53,700 ha in 2007, equal to an increase of 4 per cent) and Bolivia (from 27,500 ha to 28,900 ha, an increase of 5 per cent).","秘鲁（从2006年的51,400公顷增加到2007年的53,700公顷，相当于增长4%）和玻利维亚（从2006年的27,500公顷增加到2007年的28,900公顷，增长5%）的增幅较小。"
Page,页次
This is going to be a very (expensive/ painful/ serious) broken leg. Oh no!,这次摔断腿（花费可不小/可是会很痛/会很严重）。
"Premier Zhu Rongji on Human Rights Of the foreign guests the Chinese leaders meet with, very few fail to mention the question of human rights.",所有跟我们中国领导人会见的外宾，很少有不谈人权问题的，好像不谈中国的人权问题回去就不好交待。
"Malaysia notes that the drug problem remains a major concern, especially with the resumption of poppy cultivation by Afghan farmers.",马来西亚注意到，毒品问题仍然是一项重大关切，尤其鉴于阿富汗农民已经恢复罂粟种植。
This rate is very low volume of economic and extensive.,"这样低的容积率是很不经济的,粗放式的."
(c) Improved geographical representation and gender balance of staff,(c) 改进工作人员地域代表性和性别均衡
"They closed the circle again, and the little people sang and danced wildly forth.",舞圈马上又合拢了，小人们又继续载歌载舞，欢乐无比。
"(d) In accordance with their domestic law, to explore ways and means of responding adequately to requests by host States for support and assistance in order to enhance their capacity to conduct effective investigations in respect of crimes of a serious nature alleged to have been committed by United Nations officials and experts on mission;",(d) 依照其国内法，探讨各种方法和手段，充分响应东道国有关支持和援助的请求，以加强其能力，对据称联合国官员和特派专家所实施性质严重的罪行开展有效调查；
The hurricane was expected to pass near North Carolina's Outer Banks last night.,这次的飓风被预计将于昨天夜里路过北卡罗琳娜州的外邦科斯。
"Established links with local communities of the Sahel region enabled Al-Qaida in the Islamic Maghreb not only to ""confront and resist government security services but also undermine Sahelian States from within"".","与萨赫勒当地社区建立的联系使伊斯兰马格里布基地组织不仅能够""对抗和抵御政府安全部队，还能够从内部削弱萨赫勒地区各国""。"
The mixture may be reignited by other burning material or hot surfaces.,该混合物可能被其它正在燃烧的材料或炎热的表面重新点燃.
"If you get a heart to hunt for sunshine, then mood is as brilliant as sunshine.",如果你有一颗发现阳光的心，那么心情就会像阳光一样灿烂。
"Cluster weapons in common use are described in various publications as having a failure rate of between five and ten percent, so that the use of two such weapons, each containing 150 bomblets would be likely to leave between fifteen and thirty unexploded bomblets in the area of attack.",各类出版物称，集束武器在一般使用时故障率为5%到10%，因而在使用两件这类武器(其中各含有150枚子弹药)时，有可能给攻击区留下15枚至30枚未爆炸的子弹药。
G-spot( Grafenburg spot) An area located on the front of the inner upper wall of the vagina that may( or may not) be highly erogenous.,在阴道前壁靠阴道口处受压力刺激仍易产生（不产生）高潮的强烈快感区。
"It is nothing but earth, like all the other earth.",那里只有泥土，和其他地方的泥土没什么两样。”
"A simple introduction to the UN, written in question-and-answer format for students.","* 联系点: GA-057室,电话分机3.4475,传真963-0071。"
establishment of communication network to control/prevent trafficking of women and children;,建立交流网络，控制/防止贩运妇女和儿童；
"This State will apply the Convention only to differences arising out of legal relationships, whether contractual or not, that are considered commercial under the national law.",该国只将公约适用于根据国内法被认为属于商业性质而无论是否属于合同性质的任何问题在法律关系上所产生的分歧。
24 April 1962,1962年4月
"216. Under article 32 of the Constitution, every citizen has the right to education.",216. 根据《宪法》第32条，每个公民有权利获得教育。
